Course Name,Start Date,End Date,Academy Name,Room Name,Trainer,Spartan
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,Tim Cawte,Adam Smith
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,--Tim Cawte,John Williams
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,Tim Cawte,Nick Willis
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,Tim Cawte,Jenny Jones
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,Tim Cawte,Katie Prince
BA-Test,15/01/2018,02/03/2018,Richmond,Room 1,Tim Cawte,Peter Brown
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Mo Khan
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Juan Carlos
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Jan Miller
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Kyle Carpenter
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Alvarao Carlos
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Margaret Baker
Engineering,22/01/2018,03/03/2018,Richmond,Room 3,Richard Gurney,Oti Mwase
